date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:48	263384/263384	---M-Z	200	added ('OK')	text/html	date:Mon,%2016%20Sep%202019%2015:30:45%20GMT	https://demos.wolfthemes.com/milu/main-home/agency/	D:/downloaded%20websites/milu/demos.wolfthemes.com/milu/main-home/agency/index.html	(from )
17:30:49	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Sep%202019%2015:30:45%20GMT	https://demos.wolfthemes.com/robots.txt		(from )
17:30:49	14724/14724	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202019%2016:33:04%20GMT	https://demos.wolfthemes.com/milu/wp-content/cache/autoptimize/28/css/autoptimize_single_024846c0678e954f686d36e3f2f02282.css?ver=1565792085	D:/downloaded%20websites/milu/demos.wolfthemes.com/milu/wp-content/cache/autoptimize/28/css/autoptimize_single_024846c0678e954f686d36e3f2f022825f8b.css	(from https://demos.wolfthemes.com/milu/main-home/agency/)
17:30:49	1769558/1769558	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202019%2016:33:05%20GMT	https://demos.wolfthemes.com/milu/wp-content/cache/autoptimize/28/css/autoptimize_54e5622900fb5e565798cda9c97d6d51.css	D:/downloaded%20websites/milu/demos.wolfthemes.com/milu/wp-content/cache/autoptimize/28/css/autoptimize_54e5622900fb5e565798cda9c97d6d51.css	(from https://demos.wolfthemes.com/milu/main-home/agency/)
17:30:49	47558/47558	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20May%202019%2004:40:01%20GMT	https://demos.wolfthemes.com/milu/wp-includes/css/dashicons.min.css?ver=1558500001	D:/downloaded%20websites/milu/demos.wolfthemes.com/milu/wp-includes/css/dashicons.minfc84.css	(from https://demos.wolfthemes.com/milu/main-home/agency/)
17:30:49	0/0	---M--	200	added ('OK')	text/css	etag:%225d7a7340-0%22	https://demos.wolfthemes.com/milu/wp-content/cache/autoptimize/28/css/autoptimize_single_7167f401d0d1fd1be4db0d124082015d.css?ver=1566923963	D:/downloaded%20websites/milu/demos.wolfthemes.com/milu/wp-content/cache/autoptimize/28/css/autoptimize_single_7167f401d0d1fd1be4db0d124082015dfb97.css	(from https://demos.wolfthemes.com/milu/main-home/agency/)
17:30:49	96873/96873	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2022%20May%202019%2004:40:01%20GMT	https://demos.wolfthemes.com/milu/wp-includes/js/jquery/jquery.js?ver=1558500001	D:/downloaded%20websites/milu/demos.wolfthemes.com/milu/wp-includes/js/jquery/jqueryfc84.js	(from https://demos.wolfthemes.com/milu/main-home/agency/)
17:30:51	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214aab3e220d4e37e078ed643512a611e%22	http://connect.facebook.net/en_US/sdk.js	D:/downloaded%20websites/milu/connect.facebook.net/en_US/sdk.js	(from https://demos.wolfthemes.com/milu/main-home/agency/)
17:30:51	162/162	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2016%20Sep%202019%2015:30:47%20GMT	http://2b2e9c99bcafd8a1a4ed0fc1-rrav5y0aqj.netdna-ssl.com/wp-content/uploads/sites/28/2019/07/cropped-favicon-32x32.jpg	D:/downloaded%20websites/milu/2b2e9c99bcafd8a1a4ed0fc1-rrav5y0aqj.netdna-ssl.com/wp-content/uploads/sites/28/2019/07/cropped-favicon-32x32.7.delayed	(from https://demos.wolfthemes.com/milu/main-home/agency/)
17:30:51	15476/15476	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2012%20Sep%202019%2015:48:17%20GMT	https://demos.wolfthemes.com/milu/wp-content/plugins/wolf-visual-composer/assets/js/lib/jarallax/jarallax.min.js?ver=1568303297	D:/downloaded%20websites/milu/demos.wolfthemes.com/milu/wp-content/plugins/wolf-visual-composer/assets/js/lib/jarallax/jarallax.min86fc.js	(from https://demos.wolfthemes.com/milu/main-home/agency/)
